variable,beta0,beta1,beta2,beta3
P5,0.9330535055510526,1.9458101113041557,3.014170027462984,3.996037649860565
P10,0.9439089752605259,1.9580422131847297,3.0258947784898167,4.00804199888984
Median,0.984254084288973,1.998877190543546,3.0657904300515395,4.050651937286176
P90,1.0247971131839746,2.0391772088874056,3.106359872319386,4.092815581799664
P95,1.0363325106457515,2.0508300664849255,3.118625613178976,4.104538646358359
std,0.03163658426815618,0.03172856526833405,0.03145729410927227,0.03287365495343496
True value,1.0,2.0,3.0,4.0
